Denisova3_snpAD.DG	Denisova
OUTGROUP	Outgroup
HGDP00540	Papuan
HGDP00541	Papuan
HGDP00542	Papuan
HGDP00543	Papuan
HGDP00544	Papuan
HGDP00545	Papuan
HGDP00546	Papuan
HGDP00547	Papuan
HGDP00549	Papuan
HGDP00550	Papuan
HGDP00551	Papuan
HGDP00553	Papuan
HGDP00555	Papuan
HGDP00556	Papuan
LP6005443-DNA_D08	Papuan
LP6005443-DNA_E08	Papuan
LP6005443-DNA_F07	Papuan
HGDP00666	Sardinian
HGDP00667	Sardinian
HGDP00668	Sardinian
HGDP00669	Sardinian
HGDP00670	Sardinian
HGDP00671	Sardinian
HGDP00672	Sardinian
HGDP00673	Sardinian
HGDP00674	Sardinian
HGDP01062	Sardinian
HGDP01063	Sardinian
HGDP01064	Sardinian
HGDP01065	Sardinian
HGDP01066	Sardinian
HGDP01067	Sardinian
HGDP01068	Sardinian
HGDP01069	Sardinian
HGDP01070	Sardinian
HGDP01071	Sardinian
HGDP01072	Sardinian
HGDP01073	Sardinian
HGDP01074	Sardinian
HGDP01075	Sardinian
HGDP01077	Sardinian
LP6005441-DNA_C11	Sardinian
LP6005441-DNA_D11	Sardinian
SS6004474	Sardinian
